Ambiente,Cache,Cenário,Usuários,Média (ms),Mediana (ms),p90 (ms),RPS,Falhas
Python,Com Cache,Python (Com Cache),10,84.93849384794764,74.0,100,111.47794326795014,0
Python,Com Cache,Python (Com Cache),50,393.9515622093608,250.0,980,110.79454957298238,0
Python,Com Cache,Python (Com Cache),100,720.6972666621588,260.0,3300,111.3357467342121,0
Python,Sem Cache,Python (Sem Cache),10,997.65604171486,580.0,2600,9.78629836258775,43
Python,Sem Cache,Python (Sem Cache),50,3281.511417518293,510.0,2000,11.32453421550276,10
Python,Sem Cache,Python (Sem Cache),100,4025.487564407929,650.0,4000,14.598939333014094,60
Ruby,Com Cache,Ruby (Com Cache),10,150.98793106450722,42.0,570,64.13522318360268,1552
Ruby,Com Cache,Ruby (Com Cache),50,614.1916338667023,430.0,1400,74.35513870772122,2321
Ruby,Com Cache,Ruby (Com Cache),100,1130.4388767157725,1000.0,2400,75.33581331659292,2752
Ruby,Sem Cache,Ruby (Sem Cache),10,940.8655991573514,440.0,1600,10.401034115420352,376
Ruby,Sem Cache,Ruby (Sem Cache),50,3742.1674409295847,440.0,1200,10.883386640078736,538
Ruby,Sem Cache,Ruby (Sem Cache),100,4868.781142202603,1100.0,5900,17.0845578122424,986
